Ticker,Model,ForecastVol,ActualWeight,Forecast_Risk_Contribution,Forecast_Risk_%
AMD,EWMA (5D),0.4068,0.07221801441922568,0.029378288265741005,12.573581447316435
APLD,EWMA (5D),0.6597,0.07529534182389383,0.049672337001222755,21.259209158613345
APP,EWMA (5D),0.3774,0.07041622119113967,0.026575081877536114,11.373840212670242
BRK-B,EWMA (5D),0.1057,0.002371360087408758,0.00025065276123910574,0.1072766010029878
GOOGL,EWMA (5D),0.0654,0.09534636370617577,0.006235652186383896,2.668789955814573
META,EWMA (5D),0.1193,0.08423493745298928,0.010049228038141622,4.300958111558057
QQQM,EWMA (5D),0.0636,0.046766213019219835,0.002974331148022382,1.2729807333451981
RDDT,EWMA (5D),0.15539999999999998,0.14184116689988222,0.022042117336241694,9.433781678891497
SGOV,EWMA (5D),0.0021,0.049416460962859836,0.00010377456802200565,0.04441436381119451
SMCI,EWMA (5D),0.4753,0.06715847525500315,0.031920423288702995,13.66158703403274
SNOW,EWMA (5D),0.1301,0.06984110837104338,0.009086328199072742,3.88884766309946
TSLA,EWMA (5D),0.3617,0.06975646530681548,0.02523091350147516,10.798551060271997
ULTY,EWMA (5D),0.12960000000000002,0.1553378715043431,0.02013178814696287,8.616181979572277
AMD,EWMA (20D),0.3791,0.07221801441922568,0.027377849266328455,9.593964401637226
APLD,EWMA (20D),0.7240000000000001,0.07529534182389383,0.05451382748049914,19.103170419165657
APP,EWMA (20D),0.4029,0.07041622119113967,0.028370695517910174,9.941885507539764
BRK-B,EWMA (20D),0.10369999999999999,0.002371360087408758,0.00024591004106428815,0.08617375883055696
GOOGL,EWMA (20D),0.1481,0.09534636370617577,0.014120796464884632,4.9483221742142325
META,EWMA (20D),0.1593,0.08423493745298928,0.013418625536261192,4.702261834428408
QQQM,EWMA (20D),0.076,0.046766213019219835,0.003554232189460707,1.2455024048502288
RDDT,EWMA (20D),0.32420000000000004,0.14184116689988222,0.04598490630894182,16.114397805645297
SGOV,EWMA (20D),0.0024,0.049416460962859836,0.00011859950631086359,0.04156058536700266
SMCI,EWMA (20D),0.47,0.06715847525500315,0.03156448336985148,11.061078131468454
SNOW,EWMA (20D),0.2078,0.06984110837104338,0.014512982319502814,5.0857550708391726
TSLA,EWMA (20D),0.4257,0.06975646530681548,0.02969532728111135,10.40607353990869
ULTY,EWMA (20D),0.1409,0.1553378715043431,0.021887106094961944,7.669854366105298
AMD,Garch Volatility,0.948,0.07221801441922568,0.06846267766942594,12.083272211429783
APLD,Garch Volatility,1.2305,0.07529534182389383,0.09265091811430136,16.35235872046459
APP,Garch Volatility,0.8489,0.07041622119113967,0.05977633016915847,10.550181410108738
BRK-B,Garch Volatility,0.245,0.002371360087408758,0.0005809832214151457,0.10254022561795968
GOOGL,Garch Volatility,0.3923,0.09534636370617577,0.03740437848193275,6.601659509709473
META,Garch Volatility,0.5225,0.08423493745298928,0.04401275481918689,7.768000250049414
QQQM,Garch Volatility,0.1635,0.046766213019219835,0.007646275828642443,1.3495240821178527
RDDT,Garch Volatility,0.4422,0.14184116689988222,0.06272216400312791,11.07010428366863
SGOV,Garch Volatility,0.2767,0.049416460962859836,0.013673534748423317,2.413300912000808
SMCI,Garch Volatility,0.8649,0.06715847525500315,0.058085365248052225,10.25173574398443
SNOW,Garch Volatility,0.5835,0.06984110837104338,0.04075228673450381,7.192546225388928
TSLA,Garch Volatility,0.7803,0.06975646530681548,0.054430969878908116,9.606755799922494
ULTY,Garch Volatility,0.1699,0.1553378715043431,0.026391904368587894,4.6580206255368966
AMD,E-Garch Volatility,1.0637,0.07221801441922568,0.07681830193773036,8.987370112261063
APLD,E-Garch Volatility,2.0312,0.07529534182389383,0.15293989831269317,17.893229040417342
APP,E-Garch Volatility,1.6891999999999998,0.07041622119113967,0.11894708083607312,13.916233661522265
BRK-B,E-Garch Volatility,0.26739999999999997,0.002371360087408758,0.0006341016873731019,0.07418683320871777
GOOGL,E-Garch Volatility,0.5540999999999999,0.09534636370617577,0.05283142012959199,6.18102085419556
META,E-Garch Volatility,0.7136,0.08423493745298928,0.06011005136645315,7.032585535869497
QQQM,E-Garch Volatility,0.2922,0.046766213019219835,0.013665087444216037,1.5987491962154365
RDDT,E-Garch Volatility,0.4596,0.14184116689988222,0.06519020030718586,7.626938412776175
SGOV,E-Garch Volatility,0.5562,0.049416460962859836,0.027485435587542642,3.215663143949674
SMCI,E-Garch Volatility,1.5252000000000001,0.06715847525500315,0.10243010645893082,11.98382747552715
SNOW,E-Garch Volatility,0.5821000000000001,0.06984110837104338,0.040654509182784355,4.75638111675753
TSLA,E-Garch Volatility,1.3425,0.06975646530681548,0.09364805467439978,10.956369854860105
ULTY,E-Garch Volatility,0.3179,0.1553378715043431,0.04938190935123068,5.777444762439491
