,VolatilityContribution
AMD,0.07669377444586947
APLD,0.17571693089519308
APP,0.11675501448716957
BRK-B,0.0004532838922277945
GOOGL,0.057882777888631554
META,0.07208831389681704
QQQM,0.026828662806493188
RDDT,0.15730513568575488
SGOV,1.534035993792523e-05
SMCI,0.09657774291740519
SNOW,0.0765868480003456
TSLA,0.0803128291238209
ULTY,0.06278334560033379
